,AUC_V|Tumor+MSC+M2
KT,-0.8558253088752334
KS,-0.1575682016923763
KM,0.4674309899581086
Vmax,0.009457166800584489
rho,-0.8724236663651606
rM,-0.5248271610589339
dS,-0.22176448606146265
dM,0.3957621599562417
etaTS,0.30557146123596746
etaST,0.3148702477622231
etaMT,-0.25949940490390694
rT,0.9458225861875692
beta,0.8919666487602462
aTS,0.528947021730134
aTM,0.7761689098172219
etaTM,0.11319833584902037
etaSM,0.040865988271127446
etaMS,-0.023100413232367854
