,AUC_T|Tumor+MSC+M2
KT,0.827966937866157
KS,0.7930671109726696
KM,0.23433709643432846
Vmax,-0.018421083425627757
rho,-0.02493244959713887
rM,-0.17566314157347354
dS,0.5043195989765022
dM,0.11918529260674893
etaTS,0.7880511440122857
etaST,-0.55443491154477
etaMT,-0.07845444968749306
rT,0.9955786039381591
beta,0.04579931011936535
aTS,-0.02144612324546531
aTM,-0.004009290977181908
etaTM,0.3579450373812617
etaSM,-0.07867262338665591
etaMS,-0.02778349563528474
