AUC_T,Final_T
16.869685176515652,7.7463419058288325
23.826709670344755,12.066667990631181
22.829511130451923,10.50410794464455
17.207362781364445,7.714888690817874
24.25740287874375,10.359663050000032
12.535148887805725,4.810389007429295
29.432747303762774,15.610451920585247
23.93634573497587,11.57258506526072
15.966378905745586,6.715273186194166
16.69376876471266,7.279111826950551
14.140140051027362,5.902831025117542
11.449218353773034,4.105170443254133
16.802529462612256,7.447776006968545
26.15332190797899,12.818276199552786
13.547265528032742,5.214976184469609
18.673778524366355,8.181092113370347
21.255150759170146,9.131882407700456
15.238362999993306,6.61736666072963
15.369746490202072,6.704966764745888
26.18902420495094,12.968973750231468
20.68058242359725,10.012517170682315
17.825201605618034,7.609176985955898
15.62780390427735,6.7544046952723535
26.242725505479605,11.119333988892613
15.43409869520718,6.744285078312304
25.50087855773436,12.942643395590833
12.60998499680257,5.003796669425736
18.17119127575392,8.114970160222878
18.152882068556984,8.281471225508584
15.962517938211224,6.97767269504755
19.150845859785193,8.311216705150256
20.814205897460006,9.347505110506624
13.53945917278805,5.145494560145333
31.595028900419962,15.571962423755597
29.516239976140547,12.633108130946963
21.099803312769506,10.262274040750167
12.438053473190193,4.716580314714739
34.68630188203101,18.832507235768396
17.32127646854331,7.654593700927526
20.24893750571788,8.529997249927035
28.09021951854465,14.555991868246421
12.73257767114033,4.972166702525982
17.311785682112564,6.806737628547053
12.178654955608891,4.362813792563299
19.736706923355605,9.14943071706079
27.07340613170846,14.444105789759876
13.538523164952682,5.044877467416495
12.614070702258687,4.990044765106119
13.946532680146044,5.809490801119811
14.704026615603393,5.530271516062118
28.87744507248257,14.700623267376855
16.534583349655712,7.048981038042306
26.976711481305934,12.292356175622066
12.519840072130469,4.566539442131563
23.788745076751262,8.342826234181999
23.488143294139483,10.365017832231796
27.980089146383257,14.663152612218596
19.106972821996667,8.686256275686198
15.469120677424279,6.37535775103196
11.061721850542073,3.7868593071479983
20.281290433835174,9.407755517962274
13.821889449569484,5.592972445876351
14.303979686038879,5.953916963623446
15.228159761634092,6.068221314442146
13.14916958719481,5.355411399555664
27.072594586832885,13.927959992072859
30.64959812140132,15.135630340337121
29.33333235805183,13.743099374427548
16.81499766037757,7.296474284767449
27.94682278860043,11.983322921572892
26.974089083279726,13.667334561520144
27.949120012571033,13.312833929000892
21.28019187146047,8.814703933472453
12.43145169631229,4.479316346835276
26.35836086169617,10.837630981173945
20.23097616289522,9.547371426896504
25.84547013610247,12.24864003945044
18.947707581351136,8.508731441019235
26.98883346646365,12.605297220006042
19.11532706699172,9.08147479772126
31.263311030217015,15.786382229460779
31.439742283694336,15.512028614477138
26.72491868560426,12.090358645780663
16.908042076968727,7.3625265092724925
17.371500916361548,7.7144038132434645
19.296977734095584,8.690900760392761
15.074688903063457,6.2653796238060435
14.509056284476136,6.043823866307346
18.471187797829728,8.305646928871743
17.765959410059565,7.706951033853875
23.68374127014587,11.97655156291548
23.59675096577144,9.520433740978184
18.399841016631356,8.639199906949653
17.628898425080042,7.248773013751576
31.856983137117815,15.643122623774822
21.714851447780134,10.827925296339746
21.337961068856437,10.270555502035474
22.891376277932316,10.169184515610716
16.18492751606631,6.812254013204085
29.596614398728534,13.365856225623345
23.047715098922254,10.282609651353397
13.443416461782475,5.087283602954651
21.76734044580885,10.651023835195456
14.521809042566149,6.0700712087815045
14.071177824930176,5.8361890285709555
14.314461229406641,5.786635309862579
17.425004991263155,7.620460459906889
15.220271680961057,6.311643711381928
18.47369115589047,8.290023302167448
17.267800131341136,7.646902037894665
28.516609742330576,11.28902897686687
16.275995660193836,6.505817969161058
21.434959872985488,9.766407184707154
17.666420287915408,7.878795189805543
32.48172254365155,16.145037855565327
17.400508611844486,7.625324200088221
26.715331472202283,11.42627345346938
21.638868643021567,10.580272878396253
28.497599305346505,13.703898134983735
31.287078365003868,16.615913326044566
19.91808719125586,9.02939461140179
11.184170817786036,3.829834318937013
18.723320097425447,8.15131119658712
23.6612472339093,10.965048400228214
29.58950657526072,14.804082862140435
17.20371425756929,7.069245453823002
25.478113149528298,10.463552557451347
17.599917602570862,8.099712954806956
17.595854817827643,7.240530817560113
31.290940379537446,16.39671962695217
18.543861312535093,7.5971894210226285
13.605108754436836,5.458680746744191
19.641769482004825,8.439364826199864
20.722820304503344,9.604006269978958
17.050424192474914,6.4148895674004045
23.40164765422952,10.63789342031159
29.483767731050005,14.486863471701406
21.57475924557108,10.082743692775892
22.020241037605487,9.637068309438183
19.616653937483868,8.583785477894907
29.736723676104255,14.767159359344358
28.23513702115081,14.679606303465588
24.601693014422885,9.385859552997255
24.277742882280542,11.82980147532257
16.814427307305365,6.557817533792203
14.923458516685637,6.239985928161712
19.610905633937882,8.775758811656532
25.603886622287064,12.005642434008271
11.796858975292924,4.124853494391746
17.123660616687967,7.569872035837859
13.116819163372089,5.125035650019405
13.488640490694916,5.561098691876594
20.31659126249617,7.618763026618549
21.673344827510213,10.495522752229492
22.844857148937617,11.553195958369763
19.91785930764601,8.734446294173285
22.279221619739182,9.856646625421698
16.216976207970347,7.154616252078642
22.737062652177794,10.723778810576206
20.43171298178778,9.339280915872443
17.036060819002856,7.173835464582588
17.672242269546945,7.652905806565623
28.03674784352237,13.511002510047188
31.711010828017503,15.697830329085924
21.748032253951976,10.811721387550003
26.00431737194495,10.088952686843895
24.110864616639887,10.989970365490583
18.118615542215576,8.26861549114816
29.167871938473308,13.964937638803146
13.515681865634258,5.037796803847802
23.34575878617453,9.457950515512236
