AUC_V,Final_V
2.730848785555448,1.157298749195683
3.43936207656046,1.2625608252796998
4.6487508325455265,1.8784338663432305
3.2687847446174727,1.3481541501779215
6.77158029596419,3.056151024454583
2.5356114119830684,0.8853382399432619
4.776050772558639,2.2557194527665843
2.66867940947754,1.3161889106000062
2.8946566270996588,1.0798544259069656
2.534045126001806,1.168502260278172
1.7978233078418708,0.6911755400334058
1.2914798580174405,0.33087085583860204
3.9746123338237904,1.8475949230943631
4.094195555170745,1.968690534218528
2.3491365821577435,0.8029043706651463
3.0748474969285873,1.427805149817065
3.7849037379479435,1.5524627805802849
2.7690078803472225,1.1209036617576253
1.687210257579,0.5774547513143669
3.214155146727283,1.8942595070353927
2.606872389896168,1.012364594450808
3.4593038239008913,1.1901181429932266
1.9267531668015834,0.7067344394350402
6.151287987960396,3.3855859916524267
1.6421514731358409,0.6122232923600148
2.5486560348338534,0.9343607744931075
2.3242648651062487,0.8118662152313909
4.853400294165217,2.1485148822237963
2.715819318851157,1.1479788099925419
2.419973666445319,1.052999860171449
3.354955112172112,1.3733214211291764
2.1310978303344896,0.9919455350189158
2.5168131371789078,0.9598638222978746
2.57307961456521,1.5439340935689239
5.248411855071809,2.324730256369632
4.0087192909342635,1.5242433803904487
2.2093677050903393,0.7387499482270642
3.083001852590211,1.2630451691295426
2.8457317777353146,1.139522864735045
4.669418646095581,2.1273302571442843
3.664454486485508,1.7681129129110884
2.242199226841028,0.8118368860302514
3.3060172387821325,1.523890730776119
2.2689009986510147,0.7871236615932935
4.343540987086908,2.0979139129248643
4.7569753702887105,2.4407553524551124
3.2007872226808938,1.2248587614717528
1.7970495532432773,0.5911285091789028
2.287231146298459,0.8463107106404366
4.096535205085209,1.4819482973372953
3.329557057612048,1.2446329868646793
4.698414244398175,2.1662946214645995
3.0851546881166465,1.5492834356679028
3.807836708058442,1.3530982211126945
12.875805529113329,6.629689633933012
3.862023088992103,1.5619149204286809
6.078495462165138,2.744304127909594
3.871401212831111,1.5366110654485134
5.004011789927588,2.054647666818211
3.895142016844147,1.4721961782440203
3.342841916790098,1.4935964304865867
2.51259718389233,0.9117064123344006
1.9367453923739746,0.7598533437822063
2.5837739964843744,0.9518303426208173
1.6034539599793713,0.6228702254519545
2.108310514394018,0.9478562197121223
3.0517671383275857,1.3769983895341338
6.232106955241508,3.5264694257415936
4.350465540158743,2.038061776695759
4.33919547916128,2.2399072619266556
4.175449624904237,1.8204239873316332
3.0097546601687437,1.1608937741422656
8.259652254399544,4.001718461785819
3.6955895329416366,1.1974086253165854
4.451899804638396,1.6516493370540053
2.917572443077675,1.3776273730603696
6.719144382806006,3.436324557932427
5.099765148060039,1.9550054399788415
5.246287013820936,2.359829407464589
3.6837335921339722,1.715096909779164
6.880324443038074,3.956690933504222
3.181337951192604,1.1245336790701088
4.568215209198802,2.2166682635918216
3.0357306026027953,1.1917641306968707
2.9707860319422896,1.233600979339737
3.5606963454149736,1.3259488297600963
3.082804751073529,1.154907580606264
1.376517182527365,0.4171092024571277
3.699200797188736,1.477207978069602
3.328182321218459,1.2185409504233986
2.4152882867315775,1.0249368308731428
5.400802875161812,2.1481659019881603
1.4593170411773098,0.6074555639004462
2.5705299067780976,1.0040024261166716
6.107606905171951,2.9659831591848556
2.8511725576856723,1.0647741303958433
2.536682483648025,1.1870452607307003
4.072455701336475,2.2586972463862858
2.8522642284753044,1.2338930374770383
4.130623891492115,1.524483873041933
3.4729328849710224,1.3404308731449888
2.4594183949275323,0.8266704352968681
2.3437205572259154,0.9880960717155596
2.912247821321654,1.165584794406516
2.766086759911468,1.0039252288046556
3.6972967992885337,1.439667256811054
3.0101838520997912,1.2014045478171638
1.431853265130536,0.48628250488720204
4.366438097115306,1.928940876719557
3.841677658614104,1.4760701252496655
8.017064050064075,4.362588655390518
2.4145369438753863,0.9256343102430491
5.4308779740675455,2.802211790967843
2.002123581339549,0.7549470352957989
4.491546895629611,2.358281527480844
2.6777883011401773,1.0167986045414494
7.9428533041563245,3.78261848095488
2.3471542361603404,0.9226533763705936
3.3288143125655494,1.7780622167768438
5.503665645566549,2.4742773447770086
3.229553675177238,1.519191648739122
2.072333083102551,0.6306226140001366
4.862330333885864,2.1196245637979887
5.1935887690289295,2.338958084342122
3.125532044626435,1.8659275650268246
3.2930626085541577,1.1409187873460687
