,AUC_Ctot|Tumor+MSC+M2
KT,-0.5427475070586983
KS,0.7089227547390332
KM,0.7534858592727336
Vmax,-0.014060188827938842
rho,-0.054073228612942566
rM,0.8207312892348011
dS,-0.4073824777573283
dM,-0.7436139563910328
etaTS,0.7629129321594298
etaST,0.5761127035411044
etaMT,0.5475535955982428
rT,0.9948727092632683
beta,0.051825531057695134
aTS,-0.06624744673078181
aTM,0.03795570163552364
etaTM,0.3301655349771949
etaSM,0.00411377098849797
etaMS,0.14392176441046278
