,V_final|Tumor+MSC+M2
KT,-0.6950292040233265
KS,-0.02411895332897191
KM,0.33559868566905493
Vmax,0.022112806016525897
rho,-0.7708575853107471
rM,-0.5239919930086736
dS,-0.2305545782323798
dM,0.4616459658079986
etaTS,0.34100867859522077
etaST,0.47607837866669295
etaMT,-0.4125293954515177
rT,0.9420663302229711
beta,0.7969255073401734
aTS,0.502347891290185
aTM,0.8179080207488881
etaTM,0.12552119354108007
etaSM,0.04502566279138961
etaMS,-0.045741295856024586
