,T_final|Tumor+MSC+M2
KT,0.7938994563736022
KS,0.6099157096612616
KM,0.10547494049924122
Vmax,-0.03167375095225581
rho,-0.020716184625422226
rM,-0.11067119145555579
dS,0.4570902596515503
dM,0.0958767844472378
etaTS,0.6059531875271684
etaST,-0.5968461502597163
etaMT,-0.06300126883760587
rT,0.9813366118042526
beta,0.03184225624943801
aTS,-0.02101048034112282
aTM,-0.0020428007093241953
etaTM,0.2017845817730186
etaSM,-0.09031809685605537
etaMS,-0.031965982816616036
