,Ctot_final|Tumor+MSC+M2
KT,-0.39167591731358536
KS,0.7572360646723826
KM,0.7120475992304024
Vmax,-0.020468115245858964
rho,-0.03670399767503842
rM,0.5786556429200199
dS,-0.20757825495644017
dM,-0.5750515264008114
etaTS,0.7956017845500766
etaST,0.5910271663709299
etaMT,0.5294142636758087
rT,0.9941705130710601
beta,0.047564505129164734
aTS,-0.04977316242990721
aTM,0.04585746875475436
etaTM,0.3399097810077603
etaSM,-0.014238502141758577
etaMS,0.13400306768468268
