,AUC_V|Tumor,AUC_V|Tumor+MSC,AUC_V|Tumor+M2,AUC_V|Tumor+MSC+M2
KT,-0.8894427165995832,-0.4524930138021256,-0.8524262799324921,-0.3712045835294633
Vmax,0.04922615265721051,0.2265354684850034,0.0718302127673352,0.32688299465303894
rho,-0.8829186242648969,-0.8348052605442351,-0.8374476441762292,-0.8193393329279939
rT,0.9720300093391,0.6733415072494909,0.9589119269502405,0.6162392611209139
beta,0.9450569671432781,0.9036386017154765,0.9168090391748213,0.8883869560737253
KS,0.0,-0.75445212268483,0.0,-0.7101598303067019
rS,0.0,0.9227694630972159,0.0,0.9088087240788859
dS,0.0,-0.866537384655933,0.0,-0.8502588037764687
etaTS,0.0,0.3844390429756194,0.0,0.31676331960786575
etaST,0.0,0.7438326340283777,0.0,0.6310557739143587
aTS,0.0,0.8605643306396424,0.0,0.8540469579791928
KM,0.0,0.0,0.07298096345685914,-0.21394498302837645
rM,0.0,0.0,0.28082596935688725,0.5525060144383037
dM,0.0,0.0,-0.00260271922669388,-0.05051254996578961
etaTM,0.0,0.0,0.6451742518854469,0.20982932696890225
etaMT,0.0,0.0,0.23794497692357874,0.38630109962640274
aTM,0.0,0.0,0.6878800051382182,0.5357376626992402
