,T_final|Tumor,T_final|Tumor+MSC,T_final|Tumor+M2,T_final|Tumor+MSC+M2
KT,0.8665659403139193,0.9042026085568853,-0.03909100089224607,0.6546310912334262
Vmax,0.0044198484776162466,-0.014556800715555065,0.027739705180051564,-0.016984510089233074
rho,0.0034042458529551364,0.024858238826296994,-0.014771069998076342,-0.037187783350350355
rT,0.9901725202343452,0.8904688603983408,0.9874687429836512,0.9290511014839329
beta,0.0030586855126343575,0.015812953226855685,-0.016333274880437766,-0.011164178647103135
KS,0.0,-0.40566063035098204,0.0,-0.48311590124460113
rS,0.0,0.7294430120787825,0.0,0.7422142984459725
dS,0.0,-0.6041543472482077,0.0,-0.6216420852219394
etaTS,0.0,0.6510164033275831,0.0,0.7165709651287594
etaST,0.0,0.5003068714240057,0.0,0.43310913501452747
aTS,0.0,-0.012374332262704114,0.0,-0.043151933659374565
KM,0.0,0.0,0.6773264576872754,0.33545962367629667
rM,0.0,0.0,-0.8981563552942353,-0.6545750427557573
dM,0.0,0.0,0.11801830663109364,0.0728867752725105
etaTM,0.0,0.0,0.8821755540546963,0.5473016057360329
etaMT,0.0,0.0,-0.6131330172830958,-0.46983754921766263
aTM,0.0,0.0,-0.006576800718578209,0.008767977812291885
