,AUC_Ctot|Tumor+MSC+M2
KT,0.7404060108300421
KS,-0.6044902325513413
KM,0.5410449527783597
Vmax,0.02125731012214466
rho,-0.050854536447562666
rS,0.8199442929612782
rM,-0.2729769608691594
dS,-0.7123966452633784
dM,0.021083997601053416
etaTS,0.8088128076039234
etaST,0.4311707896449997
etaMT,-0.07414706335052448
rT,0.9597313714323809
beta,0.001299083883098362
aTS,0.004753090689979296
aTM,-0.004149511616478416
etaTM,0.5892740813253896
etaSM,0.010975600910707223
etaMS,-0.053690592165124056
