,V_final|Tumor+MSC+M2
KT,0.41361502944367173
KS,-0.25050340055777615
KM,-0.19954190129518642
Vmax,0.3078686866133283
rho,-0.82752585954659
rS,0.8956924659410268
rM,0.5253502091530158
dS,-0.8027900529351693
dM,-0.050027147549079824
etaTS,-0.17105294772548613
etaST,0.7734663684374993
etaMT,0.46718726025167207
rT,-0.42032419378744773
beta,0.8172033391472157
aTS,0.7075066939105223
aTM,0.31158433779660033
etaTM,-0.07248221717429004
etaSM,-0.008390358611137261
etaMS,0.0435637538861011
