AUC_Ctot,Final_Ctot
78.72655756101415,37.92480180481535
83.67613956775305,39.33864878010676
66.40043251596664,31.065546301782074
75.8512988914628,35.01835526002956
95.84241545672303,38.16723447778573
81.51939786773639,37.268544808716555
100.73172295934998,52.13197406815948
67.62034288283786,27.425666471045506
59.22684768103322,22.238392709141607
44.28924350100156,15.844349048705512
65.15841691863706,29.638042917841965
95.48688867598722,47.81731440439573
70.67475843013982,35.620474058691016
61.83316766420981,24.728524785550707
81.8638277692689,41.19593113850015
57.25068438190856,23.120240059604857
56.67767939534395,25.46488695168463
72.78104575402298,35.33097077244984
99.32235643450326,46.93781712571185
50.49570248625656,20.14227981469996
75.01322594163877,33.36415592398219
86.47656434513252,40.983811953728555
73.04708023958698,34.0074626765313
56.391343965310895,22.931152031477282
65.63126320545896,31.188172365016168
68.09196766216013,35.35505293735972
95.42843039938695,51.334814624599225
91.80469307160936,41.63522720471227
75.89434697332256,37.609127544862154
66.10498316417163,31.05970493287945
93.02684939284876,44.56121863100743
54.33976742411547,19.86154441379094
78.97342297205608,40.4277174688055
72.72687802910968,38.37822333399824
76.10469820614375,34.06937480482165
88.35998487184425,40.66582957785169
49.22283798105102,22.236503436288984
88.40422293361115,45.30841985070074
97.26474644477271,46.316856962384655
93.2336882733299,41.79125830212223
53.41095596657226,21.007652316262043
91.90369781376407,44.76457525784576
44.8906020457667,18.4909737279702
115.14314851210673,47.92444615181166
85.28222631784973,40.2946808726108
78.9147720278384,36.66229781366223
66.98741659891728,31.343215564459573
71.53620621604517,32.26972563355461
73.17684222761837,37.493476773907574
73.11880202460917,31.240636516943905
66.0459322287335,24.171845954774398
69.10803480020293,29.555273281131857
94.90738993913371,46.54125043721526
79.45911964940242,34.494771595635484
88.3031867165571,33.16362233171193
48.889978362686975,15.937166984074551
91.66070824799512,42.096027426049986
100.58340055050685,44.04232050074927
70.0215012236633,30.5223458259937
85.99518078579261,36.566284414403476
68.76836677016182,33.089645042063594
49.03698966687294,21.82627134318949
40.258672302765376,14.311588612980145
58.8303657205022,24.19082469329276
67.75705954745933,29.659165139717615
44.9638850635296,14.398266296804287
57.17919583158266,22.465178278026325
123.24569859142058,55.290261461961244
