,Ctot_final|Tumor+MSC+M2
KT,0.7481815547314209
KS,-0.4729995802232145
KM,0.3495798096295807
Vmax,-0.012393855197419349
rho,-0.051464487832552204
rS,0.7672759577180985
rM,-0.5985453282479223
dS,-0.6391572372373205
dM,0.029149973635686728
etaTS,0.699306886597429
etaST,0.4543383186088936
etaMT,-0.3371049030567279
rT,0.927022571677708
beta,0.02463228032799476
aTS,-0.0062351319233800145
aTM,-0.011855289022819094
etaTM,0.5056387091004476
etaSM,-0.01188609415832052
etaMS,-0.07891759757472215
