,T_final|Tumor+MSC+M2
KT,0.6776337768188866
KS,-0.481621272410605
KM,0.3037839493382671
Vmax,-0.010915951887140786
rho,-0.051125864037703486
rS,0.741631880529692
rM,-0.6606461146332483
dS,-0.6097790239705392
dM,0.03304753166712096
etaTS,0.6932495550137504
etaST,0.4096027485198617
etaMT,-0.4410159008883655
rT,0.9242137388245674
beta,0.02690337175134337
aTS,-0.005462921893468016
aTM,-0.011282639069871038
etaTM,0.5035326747674469
etaSM,-0.015565949647512517
etaMS,-0.08826812477287604
