,AUC_T|Tumor+MSC+M2
KT,0.5642219680764532
KS,-0.6685355004178684
KM,0.44330798579262143
Vmax,0.012144910837860724
rho,-0.04491120853928502
rS,0.7811065019504406
rM,-0.712175200135631
dS,-0.6693654565265046
dM,0.04764738427389265
etaTS,0.8223778699237398
etaST,0.3601597761882611
etaMT,-0.40772594082111085
rT,0.9630089104014391
beta,0.01591480805470553
aTS,0.006770642256895264
aTM,-0.003998651335228412
etaTM,0.6225381925176541
etaSM,-0.0003843075238141116
etaMS,-0.096859764249254
