,AUC_V|Tumor+MSC+M2
KT,-0.36399787643712234
KS,-0.687852865969849
KM,-0.21813392718479407
Vmax,0.3028258818341229
rho,-0.8168391557687705
rS,0.9058054695637464
rM,0.5126009378506002
dS,-0.8330509462051303
dM,-0.05350472220931035
etaTS,0.35902813948761897
etaST,0.6158346162649376
etaMT,0.36999328223400724
rT,0.6428652364914342
beta,0.8842929092932879
aTS,0.8356887514439116
aTM,0.5070120253343444
etaTM,0.18340173377445207
etaSM,-0.02233194763715595
etaMS,0.028625836830453454
