,AUC_Ctot|Tumor,AUC_Ctot|Tumor+MSC,AUC_Ctot|Tumor+M2,AUC_Ctot|Tumor+MSC+M2
KT,0.9004405110025068,0.09104290776915556,0.27816626736711386,-0.42028826748987946
Vmax,-0.01963261188100406,0.0017541036891483427,-0.06141417814464564,-0.012037103083925027
rho,0.04157471879005635,-0.03481714672889901,0.016735938449305456,0.007829979671561847
rT,0.9989817704948042,0.997601257294567,0.9973250670410879,0.9952481630652777
beta,-0.015489715502334899,-0.01241250969457248,-0.0326763433878491,-0.03813730633665346
KS,0.0,0.8698623906419277,0.0,0.7714002900610004
dS,0.0,-0.49819355054186465,0.0,-0.3341897510290871
etaTS,0.0,0.8708044940252515,0.0,0.7621752740693388
etaST,0.0,0.7187565013448969,0.0,0.5244054592372124
aTS,0.0,0.006317595967147933,0.0,0.01913212175107559
KM,0.0,0.0,0.8260888558222789,0.7356224278566941
rM,0.0,0.0,0.874103410884106,0.8291400143434143
dM,0.0,0.0,-0.8070147796304236,-0.7350714253327495
etaTM,0.0,0.0,0.4646997262147698,0.3477601918401153
etaMT,0.0,0.0,0.6847330958164002,0.5246455526744292
aTM,0.0,0.0,-0.014760977877852277,-0.03328816690224857
