,AUC_T|Tumor,AUC_T|Tumor+MSC,AUC_T|Tumor+M2,AUC_T|Tumor+MSC+M2
KT,0.9001030309246643,0.8237303388995625,0.894470320669738,0.8344810510793459
Vmax,-0.03977074255393378,0.013794494891987244,-0.001215199927347218,-0.008462029599683825
rho,0.026090517251493712,0.0016266354742285897,0.03093084661449351,-0.029853908415233436
rT,0.9989783458877894,0.9951407151660018,0.9989187618393192,0.995954209484252
beta,-0.010449953205133727,-0.0067915666165392664,0.004107512476035286,0.02529480500937793
KS,0.0,0.7828133292833183,0.0,0.7970195256716913
dS,0.0,0.4923310445076636,0.0,0.5253704714362474
etaTS,0.0,0.7777497781451944,0.0,0.7899112823624984
etaST,0.0,-0.5792763457647657,0.0,-0.5680993973115613
aTS,0.0,-0.02782345545156426,0.0,-0.0017122256631567619
KM,0.0,0.0,0.39929561320173595,0.21780863160246206
rM,0.0,0.0,-0.33182645173089803,-0.1753614145393296
dM,0.0,0.0,0.2477685087982886,0.11642594671715456
etaTM,0.0,0.0,0.645177916648117,0.3791532728483582
etaMT,0.0,0.0,-0.12445367688694847,-0.026950847951410607
aTM,0.0,0.0,-0.06120725595404588,0.03535177927230395
