,V_final|Tumor,V_final|Tumor+MSC,V_final|Tumor+M2,V_final|Tumor+MSC+M2
KT,-0.8148295457265685,-0.872349666972558,-0.3743639533213868,-0.7330103239439301
Vmax,0.11154241304387125,0.13447378608207397,0.04378047454890262,0.05306419711895552
rho,-0.9180632719523514,-0.8406876852277758,-0.8240667759905341,-0.7993252227644402
rT,0.9724429662782296,0.9789751128137778,0.8495066332062797,0.9512028989707223
beta,0.9282867431142264,0.8603038103902544,0.8248791276429526,0.8065539004588996
KS,0.0,-0.07923986193890332,0.0,-0.1461385529503192
dS,0.0,-0.3542615290627222,0.0,-0.2738433029071436
etaTS,0.0,0.5201870969393055,0.0,0.35932789976713736
etaST,0.0,0.6582994554206829,0.0,0.5479879031895937
aTS,0.0,0.6037117376194243,0.0,0.5158973693845559
KM,0.0,0.0,0.37045378358754866,0.32898779403586315
rM,0.0,0.0,-0.5769811444751781,-0.5583708773492065
dM,0.0,0.0,0.5432503161530757,0.5119375100773976
etaTM,0.0,0.0,0.10925444931179831,0.11162571652079664
etaMT,0.0,0.0,-0.5580651355413143,-0.42288692581419274
aTM,0.0,0.0,0.8570471051519938,0.7856196997180546
